;id;distance;up;down;min;max
246;2320;8.27 km;740 m;44 m;1'818 m;2'521 m
247;2321;0.37 km;27 m;3 m;1'867 m;1'894 m
248;2322;5.68 km;995 m;44 m;1'476 m;2'427 m
249;2323;0.20 km;0 m;15 m;2'209 m;2'224 m
250;2347;1.89 km;296 m;82 m;1'998 m;2'223 m
251;2348;0.68 km;7 m;0 m;1'352 m;1'359 m
252;2358;na;na;na;na;na
253;2360;4.17 km;163 m;122 m;1'309 m;1'399 m
254;2361;3.78 km;823 m;101 m;1'352 m;2'121 m
255;2362;3.55 km;846 m;29 m;866 m;1'710 m
256;2363;5.46 km;971 m;10 m;1'025 m;1'986 m
257;2364;5.51 km;1'210 m;114 m;425 m;1'540 m
258;2365;2.97 km;356 m;8 m;1'389 m;1'736 m
259;2366;4.20 km;665 m;22 m;1'365 m;2'019 m
260;2367;4.09 km;223 m;391 m;2'450 m;2'707 m
261;2370;3.07 km;507 m;8 m;977 m;1'476 m
262;2371;4.23 km;717 m;8 m;983 m;1'692 m
263;2372;5.13 km;786 m;29 m;1'255 m;2'012 m
264;2373;4.67 km;866 m;93 m;1'474 m;2'246 m
265;2374;11.57 km;1'401 m;325 m;1'335 m;2'413 m
266;2375;7.16 km;1'441 m;58 m;1'002 m;2'387 m
267;2376;8.66 km;755 m;313 m;1'936 m;2'480 m
268;2377;10.15 km;1'534 m;65 m;959 m;2'430 m
269;2378;6.42 km;926 m;347 m;1'956 m;2'569 m
270;2379;7.17 km;492 m;159 m;474 m;842 m
271;2380;3.68 km;1'080 m;26 m;1'909 m;2'964 m
272;2381;5.82 km;1'000 m;4 m;502 m;1'500 m
273;2382;3.60 km;598 m;28 m;1'474 m;2'044 m
274;2383;6.17 km;321 m;140 m;2'219 m;2'428 m
275;2384;3.32 km;579 m;0 m;2'208 m;2'787 m
276;2385;2.07 km;494 m;0 m;1'859 m;2'352 m
277;2386;3.08 km;44 m;608 m;1'975 m;2'561 m
278;2387;6.37 km;775 m;152 m;1'840 m;2'463 m
279;2394;4.79 km;606 m;56 m;2'120 m;2'671 m
280;2395;2.91 km;574 m;5 m;1'841 m;2'409 m
281;2396;1.95 km;208 m;21 m;1'658 m;1'853 m
282;2397;1.40 km;109 m;73 m;2'136 m;2'200 m
283;2398;6.20 km;1'064 m;17 m;1'331 m;2'378 m
284;2399;9.02 km;1'228 m;32 m;1'271 m;2'482 m
285;2400;2.35 km;517 m;8 m;794 m;1'307 m
286;2401;4.24 km;552 m;361 m;2'184 m;2'699 m
287;2417;1.34 km;618 m;4 m;2'564 m;3'179 m
288;242;7.37 km;407 m;70 m;1'313 m;1'649 m
289;243;7.65 km;1'014 m;125 m;1'279 m;2'190 m
290;2435;4.93 km;947 m;31 m;1'406 m;2'322 m
291;244;6.78 km;887 m;384 m;1'625 m;2'430 m
292;245;4.62 km;120 m;3 m;1'611 m;1'728 m
293;246;5.32 km;699 m;4 m;1'969 m;2'665 m
294;2466;5.71 km;741 m;23 m;969 m;1'686 m
295;247;8.35 km;821 m;183 m;1'969 m;2'665 m
296;2474;3.19 km;648 m;29 m;1'687 m;2'335 m
297;248;5.81 km;885 m;16 m;1'768 m;2'637 m
298;2481;2.25 km;76 m;417 m;2'123 m;2'474 m
299;2486;5.86 km;616 m;124 m;1'863 m;2'358 m
300;2487;8 km;1'130 m;35 m;1'340 m;2'454 m
301;2488;0.07 km;13 m;0 m;1'715 m;1'727 m
302;2489;1.03 km;112 m;13 m;2'922 m;3'032 m
303;249;11.80 km;1'151 m;62 m;1'605 m;2'694 m
304;2490;4.58 km;742 m;6 m;2'401 m;3'137 m
305;2491;4.49 km;1'026 m;13 m;1'244 m;2'268 m
306;2492;3.50 km;542 m;21 m;2'135 m;2'655 m
307;2493;3.87 km;313 m;112 m;1'859 m;2'142 m
308;2495;0.11 km;1 m;12 m;2'132 m;2'143 m
