tour_id;start;end
6237;"46.679947457590835;8.317373394490719";"46.6545255559911;8.289514485359465"
6236;"46.608916502519094;8.463531493040342";"46.622892384204135;8.421403212478918"
482;"46.59054352571104;8.328622535755951";"46.58704352593471;8.282702535966205"
2937;"46.59047233961116;8.32136466512071";"46.586995988083636;8.282611141764432"
486;"46.67232452656162;8.205456537144224";"46.643696215306655;8.21213594680183"
484;"46.68043852684503;8.154125537487245";"46.676106313220835;8.164606127208476"
478;"46.574817467840866;7.974568208402022";"46.57284552748887;7.968867537472744"
480;"46.61738173806819;8.056413288041043";"46.60052216296836;8.060209537588802"
7167;"46.57212471218691;8.010796894947749";"46.58189742510431;8.098734225651839"
7011;"46.57212471218691;8.010796894947749";"46.58189742510431;8.098734225651839"
1493;"46.6804828329046;8.154150692824299";"46.67610624052661;8.164605306795165"
3154;"46.67869583956727;8.15492380171788";"46.65918491152;8.167488420915006"
1382;"46.61122718215152;8.308093146711318";"46.60389643143587;8.269979293877272"
488;"46.57939818760435;8.334722708172071";"46.57014207162845;8.222476795251993"
3152;"46.53062574248014;8.343400007668823";"46.54886046788781;8.277272458211364"
3153;"46.59047233961116;8.32136466512071";"46.58091359015847;8.260951129122216"
479;"46.54494944187006;7.902761896659608";"46.49918352767211;7.8922345371981315"
836;"46.39039551903856;9.665601526710603";"46.400148401702054;9.652803420715397"
851;"46.775498806379446;10.152988498955512";"46.79946021296202;10.186053154635017"
838;"46.396998516111736;10.118713524143619";"46.41216127829532;10.09538621322009"
691;"46.390471518389575;9.665669526684242";"46.37484269349827;9.605661309091367"
837;"46.43627451685748;9.991624525216912";"46.43863705695864;10.007473200732893"
839;"46.253619515638626;10.138769522803193";"46.27684120690322;10.142944751403162"
847;"46.698120952809695;10.09013561339408";"46.69814273672614;10.07005455688991"
844;"46.71544051582805;10.334641525614204";"46.67770191651765;10.352734898153447"
685;"46.34204451889861;9.539857526973117";"46.365619519160155;9.500543527397827"
858;"46.97034051630101;10.367157527633875";"46.9864855164493;10.346082527901777"
280;"46.59817852575157;8.324770535845136";"46.63124752575109;8.342674536049119"
281;"46.61435252581871;8.320277536014824";"46.6312475257511;8.342675536049107"
3999;"46.616450456612945;8.304813471587947";"46.60524571312797;8.324166486848764"
1843;"46.974234474396155;7.054256121186711";"46.96716585194141;7.091470974351456"
562;"46.094086150348545;7.957440048732129";"46.10105894229878;7.984706640232901"
3277;"46.09749954056948;7.957534347145854";"46.10763223230578;8.007577039489579"
276;"46.73087252559232;8.427254536501016";"46.713251535526375;8.41598598477379"
674;na;na
3056;"46.730989723117276;8.427761855930074";"46.70199344592146;8.414280261408582"
912;"46.47184747036851;8.52617960558769";"46.47173920243754;8.517988030343233"
915;"46.514323524085206;8.607785533590004";"46.500068524113566;8.594537533533503"
909;"46.55548169517451;8.566885660663111";"46.563554026211094;8.612690918610825"
918;"46.44414052326077;8.732659532296466";"46.431254477086135;8.769316820206484"
815;"46.895383820211194;8.708808165333279";"46.91291752460212;8.717142536586225"
